project,issue_number,issue_type,text,classification,if_fixed,fixed_commit_hash
CAMEL,1112,description,"when reading files from file,ftp/sftp component, it is often neccesarry to get the files in a predifined order (e.g. created date or filename). to solve this, an extra uri parameter could be used, to set the order of files beeing processed. ordering can be done after reading the file-list. i know this can also be solved by applying a resequencer pattern in the route, but i think for large files it would be hard to apply this. also a processing in an created date order would be more natural.",Design-Des,yes,4ef8b8962304f16061825f76a52c5cb6dcc6d29e
CAMEL,11171,description,"component has an issue with the usage of {{RAW()}} function in child endpoint configuration. will mishandle the the content of {{RAW()}} , when at some point the escaped ampersand symbol is unescaped, and a wrong set of parameters is used. The attached PR fixed the issues and adds a unit test to verify the behavior before and after the fix.",Test-LCvg,yes,d6088eb5175e4c66c7c8a467694a8d60ff8d3eb5
CAMEL,11196,comment_0,"We should also make it easy to reuse an existing connector and have separate configuration, eg so the same user can use a twitter-connector and then configure it for user A and user B in the same application without configuration clashes. Today the component level would reuse the same component / configuration. So we may want to find a way to clone a component or whatever we can think of. A little bit of problem is the generated spring boot auto configuration which is hard-coded to one prefix.",Design-Des,yes,3dd29006c3aa1c9612dc25461b64a4845e31138d
CAMEL,11196,description,"A Camel connector can be configured on two levels - component - endpoint Just like a regular Camel component. But we should allow users to configure a connector in one place, and not worry about if its component or endpoint level. And then let camel-connector when it prepares the connector figure out all of this for you. This may require supporting loading configuration from external resource files such as .properties files etc. Or something else. But from end users we can make this easier.",Design-Des,yes,3dd29006c3aa1c9612dc25461b64a4845e31138d
CAMEL,11282,description,We should extend the plain DefaultComponent (the is deprecated) ensure there is a plain default no-arg constructor so it makes using and configuring components easier. See eg SO If it was just a plain no-arg constructor then the bean style would have worked.,Design-Des,yes,420f06e6fc0c70d26b19e183e96d696c4114ffc6
CAMEL,11868,description,The current java transport client is due EOL in near future and it will be a good idea we switch the the new high level rest client instead. The new high level rest client is only released from version 5.6.0 and towards so an general upgrade of the dependencies is required for the ELK component. This also add the support for basic authentication without the need of x-pack. This is usefull when running ELK behind a reverse proxy.,Architecture-ObsTech,yes,928f185f9c5fcb1eb48d8f626b7f569210bca5f7
CAMEL,11868,comment_1,"It might be a good idea, since not all features is supported in the high level rest client yet I already got it to work with the rest client, but then I would suggest we create a super class for and a and In the we decide which one we should instantiate based on the type client on the class path. This of course mean the client dependency is not included in the the component. Regarding the it's not possible to use the Hight level REST client since it only support ELK from 5.6.0 and forward. One think to be aware of with the REST API that it is slightly different, which mean various request and response object is not called the same with the REST client. So either we have to document this in the manual or we have to come up with a common request / response object for both clients",Design-Des,yes,f929b940da164b4c4bd11638c8fe693c57f59c3a
CAMEL,11868,comment_2,"Can we not create a new component that use this new rest client only. And then the two older components can stay for older users, and eventually we can start marking them as deprecated because the java client is EOL from Elastic and the rest client is the future/way to go.",Design-Des,yes,f929b940da164b4c4bd11638c8fe693c57f59c3a
CAMEL,1196,summary,MockEndpoint - sleep for empty test doesnt work,Test-LacTst,yes,6bebc319bfb7375d78b50974814f1bb73f85756a
CAMEL,12104,comment_5,I think we can extend cxf Continuation interface a bit to add an isTimeout method so that we know the timeout happen and can handle this situation accordingly outside CXF,Design-Des,yes,5805a124ee5e76b61bf7bdb12ff0273669e2e730
CAMEL,12104,description,"There is very strange behavior in Camel cxf and cxfrs timeouts which could lead to sensitive data being released. Below is a code sample which illustrates the unexpected behavior. I think any developer would expect the test API to return ""Valid Response"" or some kind exception, but in fact it returns ""SENSITIVE DATA"" due to the default continuationTimeout of 30 seconds. This issue seems to have been introduced by",Design-Des,yes,c789e1f6b09b57d1b0882268ebbe8fecfa9c05b2
CAMEL,12104,summary,Unintuitive default cxf timeout behavior,Design-Des,yes,c789e1f6b09b57d1b0882268ebbe8fecfa9c05b2
CAMEL,12104,comment_0,Would you be able to build an unit test of this sample code so we can take that and add to the tests of camel-cxf and work on a fix.,Test-LacTst,yes,4a9a7c636732b4a92e54c9d6b181840723df56d4
CAMEL,1228,summary,Clean up the OSGI bundle profiles,Code-LQualCd,yes,235092f3a890d4bf573c6c9c71b69a2f67805b12
CAMEL,1256,comment_0,"A fix has been submitted. Here is some highlights. * The fix is for 2.0 only since it involves some APIs changes that is an overkill to keep it backward compatible. Will update wiki. * It depends on CXF 2.2-SNAPSHOT now. Will upgrade CXF once the next release of CXF is available. * CxfBinding, Bus [CAMEL-1239], can be looked up from registry by the ""#"" notation. * Decouple CXF Message from Camel Message. That is, users are no longer required to cast Camel's message body to CXF Message in order to access SOAP headers and body in PAYLOAD. In PAYLOAD mode, Camel message body now returns a new type CxfPayload which contains SOAP headers and body. With CxfPayload being the body in PAYLOAD mode, It makes using Camel converter to convert to other types pretty easy and transparent. * Cleaning up the old CxfBinding and ""invoking context"". Both tried to do Camel/CXF message binding. CxfBinding is now an interface that an custom impl can be set on each endpoint. impl can also be set on each endpoint. * [CAMEL-1254] support serviceClass=#bean * some major refactoring to make code cleaner.",Code-LQualCd,yes,9be406692d2b2a92d547dafbb93452c02a06bf4e
CAMEL,1256,description,"The camel-cxf component is dued for some code cleanup and refactoring. We can clean some of of the interfaces and redundant code, etc.",Code-DedCd,yes,9be406692d2b2a92d547dafbb93452c02a06bf4e
CAMEL,1256,summary,Clean up camel-cxf,Code-DedCd,yes,9be406692d2b2a92d547dafbb93452c02a06bf4e
CAMEL,12624,description,Currently we are running Camel AMQP component against Active MQ 5 (Amazon MQ) we want to move to an Artemis solution but this hasn't worked seamlessly. In CAMEL-9204 I believe a hardcoded topic prefix of topic:// was introduced I think for a workaround of an Active MQ 5 bug. In Artemis this means Camel connects to a topic named instead of and therefore receives no events. The only possible workaround is to manually create the connection factory which means then the topic prefix is not set. My believe is that the hardcoded topic prefix is a bug and should be removed or an option to override at the AMQP component level should be introduced. Bug location: AMQPComponent.java line 59 Workaround:,Design-Des,yes,d673acd3035365ef85aae9b6836ee489a8e6a18e
CAMEL,12646,description,"If you have complex types like and wants to allow to configure this via spring boot autoconfiguration in - then the generated spring boot classes with all the options will use getter/setter of types That seems correct, but the spring-boot tooling itself (that generates additional json file) will skip those as it only support primitives and string types. So we may need to fool, and generate the getter/setter as String type as you use it for configuring it as a bean reference by id anyway, eg = #myDataSource We can add in the javadoc that the type is",Design-Des,yes,11fe34439c6b16c652c7d5bb16e75bd998079280
CAMEL,12646,summary,camel-spring-boot - Auto configuration of complex types should be more tooling friendly,Design-Des,yes,11fe34439c6b16c652c7d5bb16e75bd998079280
CAMEL,1270,description,The countdown latch in MainSupport is not completed when Main is stopping. Then we have a hanging thread. Can bee seen using ctrl + \,Code-MTCor,yes,2ebe070905933331c175d51836b0334fe3a28013
CAMEL,13681,description,Any of the options you can configure via such as: camel.main.name And so on should be configurable via ENV variables which will override any existing configuration. This is good practice in containers and also how SB can do etc.,Design-Des,yes,68a93674a82e01b1d0c0312ff5998c05de94b8ae
CAMEL,1447,description,"See article, listening 2 We should consider renaming *handle* to *catchBlock* so its using the same name as try .. catch. And we could add a finallyBlock so end user got them all.",Code-LQualCd,yes,86e1a1c0ad9c97a3ab734739b6178eb4ea14c887
CAMEL,149,description,Brian McCallister had this great idea.. add a thread() method to the DSL instead of using the seda component to do async processing. We should be able to: or ThreadPoolExecutor pool = ...,Design-Des,yes,0ea40fae717241f5322d95b60233f982ae810040
CAMEL,1507,comment_0,might need some cleanup - but I have tested it and it works for me,Code-LQualCd,yes,6cb542d49d20c5fe62e5aed80787feef682821fa
CAMEL,1507,comment_4,I renamed the constant so its according to the Camel 2.0 syntax: rev 761182 on trunk,Code-LQualCd,yes,da37ef162241e8dd6ad9b08bb08b3e30f0cbc316
CAMEL,1507,description,"To send a email you have to follow a pretty specific course. This adds a property (which is poorly named in this patch) to the MailConfiguration that names the header that contains the plaintext version of the email, and adds a property where you can embed images inline. If an attachment has a filename starting with ""cid:"" then this will add the ""Content-ID"" header to that multipart body - which will allow the email client to put the image in the appropriate place when it is viewed. (i.e. the html email has something like <image src=""cid:0001"" /",Code-LQualCd,yes,0eec0b41e2005de2adf422785c3a5b86e5a8f4a1
CAMEL,1842,description,"camel-cxf and camel-mail are the popular components in camel, so we need add some OSGi integration test for them.",Test-LacTst,yes,7b7ab09e22500c6140fafbf59e46c5d3843571c7
CAMEL,1944,description,Currently only the camel-irc producer installs an event listener on the IRC connection to log incoming messages from the IRC server. This patch revamps the logging so that the component installs an event adapter to do logging before the connection is even established so it's easier to debug various issues that could be occurring with the connection to the IRC server.,Code-LQualCd,yes,7a3f1561f25770f35ead4c24d7896ab877398a01
CAMEL,2094,description,We now have option {{autoStartup}} on routes. Lets also have this on the camel context itself so it replaces the option that is a bit confusing. For example the code above will not start Camel on startup. You can then later start camel manually by And then all runs. This also means that we will remove the option so if you use this option you must migrate to the autoStartup instead.,Design-Des,yes,ea55e23638226420322851307a06cce597a65c44
CAMEL,251,description,"displays the file instead of directory (a boolean) automagically attempt to reconnect if from their destinations. This should probably be shared with Consumers, and could maybe done more cleanly using camel's try/catch features, but there you go. Smarter directory/file building/handling. This lets you handle URI's like similarly, avoid putting files in '/' on servers that expose the full filesystem, etc. More verbose logging. Stuff like ""what file went where,"" reconnection attempts, etc.",Code-LQualCd,yes,35c8dd74eb0f96c9d242234936fa4dc4d9252104
CAMEL,2535,description,"As we don't use the CxfSoap component any more, it's time to clean it up.",Architecture-ObsTech,yes,0d654ef76d63f65a81f465f2c5d02cc32e6a0b48
CAMEL,2535,summary,Get ride of the cxfsoap component,Code-DedCd,yes,0d654ef76d63f65a81f465f2c5d02cc32e6a0b48
CAMEL,2650,description,"This only applies for prototype scoped POJOs which uses @Produce or @Consume to inject a Camel Producer/Consumer. As the prototype scoped POJO is short lived and there could potentially be created many of those POJOs. Then @Produce / @Consume will inject new instances of Producer / Consumer as well. And since there is no standard way of knowing when the POJO is no longer in need, which is where we can to stop the Producer/Consumer. For singleton scoped this is not a problem as CamelContext will keep track on the created Producer/Consumer in its internal _servicesToClose_. Which is then stopped when CamelContext stops. For prototype we need a different strategy such as - proxy it to use pooled producers/consumers which CamelContext manage the lifecycle - use a shared ProducerTemplate / ConsumerTemplate instead which CamelContext manages the lifecycle - other - maybe some thread local tricks",Design-Des,yes,1ab7b8904e240361c4b8aa72427e9a606ecf9aa4
CAMEL,2682,description,This allows end users to continue routing the original message. Instead of now the just get the last splitted message which is confusing.,Design-Des,yes,4b00f97f5d1ae88f3224037675bfa91033e6c453
CAMEL,2879,description,"The file strategies was not designed to be as flexible as we may want them today, when introducing more and more options to dictate what should happens with the files when success or failure. As we got - noop - delete - move - moveFailed etc. you may combine then in ways in which we current doesn't support. You should be able to say that if OK then just delete the file, but if ERROR then move it to this error folder instead.",Design-Des,yes,5799e6d0b2bfcdb3fcafc87ce6a6849804fdefd1
CAMEL,2892,summary,remove ugly warnings running tests since upgrading to jetty 7,Code-DedCd,yes,6d8acc781a940470cf21cd196bdf995111f873d1
CAMEL,3048,description,The current sample is based on Direct component which is a bad sample as its a very special component. We should do a HelloWorldComponent - the producer will just print the message body to system out - the consumer is scheduled and triggers every 5th second with a dummy exchange,Design-Des,yes,df7ee396ac7c4f9beb917652a0c4e653a97e589b
CAMEL,3048,summary,Archetype for creating component should have better sample component,Design-Des,yes,df7ee396ac7c4f9beb917652a0c4e653a97e589b
CAMEL,3050,description,"Spring 3 changed internally how dependency resolution works. Its now worse as we have to play tricks in the Camel namespace handler to tell Camel the various pieces you can ref, should depend on Camel. Otherwise the dependency resolution in Spring is not working properly. This used to work like a charm in Spring 2.5.6.",Design-Des,yes,85340945239689f51f25d29bbb79727d728b2076
CAMEL,3077,description,"EhCache often has a bit of lag time when invalidating expired cache elements, first setting the Element value to null and then removing the key. If you are hitting a cache rapidly one often will run across a key that is present in the cache that still has a null element entry. The logic for successfully key retrieval just needs to be slightly tweaked to check for null values.",Design-Des,yes,1fab0408c5493502fcba171b11b66954d846e092
CAMEL,3077,summary,Cache Component needs to check for null values during GET operations,Design-Des,yes,1fab0408c5493502fcba171b11b66954d846e092
CAMEL,3100,summary,${file:length} should return 0 instead of null if the file length is 0,Code-LQualCd,yes,559993248cdaa590466e708652b1a5d4bcdf17b0
HADOOP,10106,comment_3,You seemed to have unnecessarily moved the doRead() function's location in the server.java file. Can you please leave it in its original place in the file and please resubmit the patch.,Architecture-VioMod,no,
HADOOP,10106,description,"INFO IPC Server listener on 8020: readAndProcess from client 10.115.201.46 threw exception Unknown out of band call #-2147483647 This is thrown by a reader thread, so the message should be like INFO Socket Reader #1 for port 8020: readAndProcess from client 10.115.201.46 threw exception Unknown out of band call #-2147483647 Another example is which can also be called by handler thread. When that happend, the thread name should be the handler thread, not the responder thread.",Code-MTCor,yes,763f073f41e3eaa9ecd11c6ec0b76234739272aa
HADOOP,10106,summary,Incorrect thread name in RPC log messages,Code-MTCor,yes,763f073f41e3eaa9ecd11c6ec0b76234739272aa
HADOOP,10169,comment_10,Thanks for updating the patch. One last nit is that this code: can be simplified to the following so there aren't so many return statements to track:,Code-LQualCd,yes,71b4903ea41a17c9305b25d24be786aed5b6e82f
HADOOP,10169,description,"When i looked into a HBase JvmMetric impl, just found this synchronized seems not essential.",Code-DedCd,yes,71b4903ea41a17c9305b25d24be786aed5b6e82f
HADOOP,10169,summary,remove the unnecessary synchronized in JvmMetrics class,Code-DedCd,yes,71b4903ea41a17c9305b25d24be786aed5b6e82f
HADOOP,10214,comment_0,"A simple fix. I think it was introduced by: r1556103 | vinodkv | 2014-01-07 09:56:11 +0800 (Tue, 07 Jan 2014) | 2 lines YARN-1029. Added embedded leader election in the ResourceManager. Contributed by Karthik Kambatla. The above change made public, so the multi-threaded warning be observed.",Code-MTCor,yes,519d5d3014c2a4c77d4b3b575bc34807e7c0ec50
HADOOP,10214,description,"When i worked at HADOOP-9420, found the unrelated findbugs warning:",Code-LQualCd,yes,519d5d3014c2a4c77d4b3b575bc34807e7c0ec50
HADOOP,10214,summary,Fix multithreaded correctness warnings in,Code-LQualCd,yes,519d5d3014c2a4c77d4b3b575bc34807e7c0ec50
HADOOP,10343,description,in we print logs at info level when we drop responses. This causes lot of noise on the console.,Code-LQualCd,yes,2417ca71d5115f16bd13a737087dab5edd04fb99
HADOOP,10353,description,"The class uses a plain {{HashMap}} for caching. When the number of inserted values exceeds the the map's load threshold, it triggers a rehash. During this time, a different thread that performs a get operation on a previously inserted key can obtain a null value instead of the actual value associated with that key. The result is a NPE potentially being thrown when calling protocol)}} concurrently.",Code-MTCor,yes,e5ccaa5d0341bc62d625a94a02b409efaca65051
HADOOP,10374,description,"There are valid use cases for accessing the InterfaceAudience annotations programatically. In HBase, we are writing a unit test to check whether every class in the client packages are annotated with one of the annotations. Plus, we are also thinking about a golden file to containing all public method sigs, so that we can ensure public facing API-compatibility from a unit test. Related: HBASE-8546, HBASE-10462, HBASE-8275",Test-LacTst,no,
HADOOP,10432,description,"The method is private and takes a configuration to fetch a hardcoded property. Having a public method to resolve a verifier based on the provided value will enable getting a verifier based on the verifier constant (DEFAULT, STRICT, STRICT_IE6, ALLOW_ALL).",Code-LQualCd,yes,9a2ec694fe6f1cf72b60d4f406b010bfa55ff04b
HADOOP,10485,comment_1,The v0 patch introduces no functionality changes. It only removes the unused classes.,Code-DedCd,yes,0862ee6520da2140e5f1b201042ae33adebc1943
HADOOP,10485,comment_2,"+1. Thank you, Haohui, for the code cleaning up.",Code-LQualCd,yes,0862ee6520da2140e5f1b201042ae33adebc1943
HADOOP,10485,description,Hadoop-streaming no longer requires many classes in o.a.h.record. This jira removes the dead code.,Code-DedCd,yes,0862ee6520da2140e5f1b201042ae33adebc1943
HADOOP,10485,summary,Remove dead classes in hadoop-streaming,Code-DedCd,yes,0862ee6520da2140e5f1b201042ae33adebc1943
HADOOP,10496,description,"{{FileSink}} opens a file. If the {{MetricsSystem}} is shutdown, then the sink is discarded and the file is never closed, causing a file descriptor leak.",Code-LQualCd,yes,9ac54b5480f7ac03d76f5a894eab87829123d2db
HADOOP,10496,summary,Metrics system FileSink can leak file descriptor.,Code-LQualCd,yes,9ac54b5480f7ac03d76f5a894eab87829123d2db
HADOOP,10499,comment_3,"Although it makes sense to remove an unused parameter, I wonder if the parameter should be honored? It would allow different rpc services to have different proxy superuser configurations as opposed to the current static configuration... It probably made sense when daemons generally had only one rpc service. I don't have a strong opinion because I suppose it could be by another jira.",Code-LQualCd,no,
HADOOP,10499,comment_6,"I believe , the static nature of the ProxyUser capability should be addressed separately, if there is a requirement for different services to have different ProxyUser capabilities. HADOOP-10448 would make it easier since it will move the state out of ProxyUsers. I am trying to clean up the interface exposed by _ProxyUsers_ in order to work on HADOOP-10448 and that's why this jira.",Code-LQualCd,no,
HADOOP,10499,comment_19,"Hi, Sorry for the inconvenience this caused. Is it possible to patch HBase to stop calling the 3-arg form of that was removed? The third argument was unused anyway, so this won't change any functionality in HBase. Additionally, this class is currently annotated {{Private}}, so I expected we didn't need to check for downstream impacts before I committed. That means one of two additional changes needs to happen: # Change HBase to stop calling altogether. I'm not really sure what alternative you would have though, so maybe this isn't feasible. # Change the annotation to {{LimitedPrivate}} for HBase, so devs know to check for downstream impacts on interface-breaking changes in the future. What are your thoughts on this?",Code-LQualCd,no,
HADOOP,10499,description,The Configuration parameter is not used in the authorize() function. It can be removed and callers can be updated. Attaching the simple patch which removes the unused _conf_ parameter and updates the callers. The ProxyUsers is defined as a private audience and so there shouldn't be any external callers.,Code-DedCd,yes,dd7d032457f93bf600a1322a34873b1142303da2
HADOOP,10499,summary,Remove unused parameter from,Code-DedCd,yes,dd7d032457f93bf600a1322a34873b1142303da2
HADOOP,10526,summary,Chance for Stream leakage in CompressorStream,Design-Des,yes,291af51b654e9de533e084042051ef6650b05fc2
HADOOP,10681,comment_1,"Added a SnappyCode impl into hive, which should come before in the classpath for hive+tez. Tested out TPC-H Query5, which has a spill-merge on the JOIN. Query times went from 539.8 seconds to 464.89 seconds, mostly from speedup to a single reducer stage.",Code-SlAlg,yes,8f9ab998e273259c1e7a3ed53ba37d767e02b6bb
HADOOP,10681,description,"The current implementation of SnappyCompressor spends more time within the java loop of copying from the user buffer into the direct buffer allocated to the compressor impl, than the time it takes to compress the buffers. The bottleneck was found to be java monitor code inside SnappyCompressor. The methods are neatly inlined by the JIT into the parent caller which unfortunately does not flatten out the synchronized blocks. The loop does a write of small byte[] buffers (each IFile key+value). I counted approximately 6 monitor enter/exit blocks per k-v pair written.",Code-SlAlg,yes,8f9ab998e273259c1e7a3ed53ba37d767e02b6bb
HADOOP,10681,comment_3,"The patch removes unsafe synchronized blocks from the individual methods in Snappy and Zlib codecs. This synchronization is slow and when used in the most common pattern for CompressionCodec is still thread-unsafe for sharing streams with loops running across multiple threads and would ideally require explicit code { while { 0, buffer.length); } } to get correct stateful behaviour. As code exists today it is not thread-safe and does slow lock-prefix x86_64 instructions. The JNI library below in SnappyCodec.c actually does its own locking mutexes for the actual critical sections within.",Design-Des,yes,8f9ab998e273259c1e7a3ed53ba37d767e02b6bb
HADOOP,10681,comment_7,Address findbugs warnings,Code-LQualCd,yes,8f9ab998e273259c1e7a3ed53ba37d767e02b6bb
HADOOP,10681,comment_17,Can we do the same for {{Lz4Compressor}} and I noticed a significant performance overhead using {{Lz4Compressor}} for compared to due to the same problem.,Code-SlAlg,no,
HADOOP,10729,description,"We have ProtocolInfo specified in protocol interface with version info, but we don't have unit test to verify if/how it works. We should have tests to track this annotation work as expectation.",Test-LacTst,yes,c4084d9bc3b5c20405d9da6623b330d5720b64a1
HADOOP,10748,description,Currently HttpServer2 loads the JspServlet by default. It should be removed as JSP support is no longer required.,Code-DedCd,no,
HADOOP,10930,summary,HarFsInputStream should implement PositionedReadable with thead-safe.,Code-MTCor,no,
HADOOP,10979,description,It would make adding common options to hadoop_usage output easier if some entries were auto-populated. This is similar to what happens in FsShell and other parts of the Java code.,Design-Des,yes,ee36f4f9b87b194c965a2c5ace0244ab11e1d2d6
HADOOP,11013,comment_1,a) adds --debug option b) reworks CLASSPATH export to be consistent/safer,Code-LQualCd,yes,d8774cc577198fdc3bc36c26526c95ea9a989800
HADOOP,11013,comment_6,"-01: * Replaced all of the if's with a function * Added more messages that fill in some of the blanks (e.g., when does get added?) * Because I'm never happy, even with my own code",Code-LQualCd,yes,d8774cc577198fdc3bc36c26526c95ea9a989800
HADOOP,11013,description,"As part of HADOOP-9902, java execution across many different shell bits were consolidated down to (effectively) two routines. Prior to calling those two routines, the CLASSPATH is exported. This export should really be getting handled in the exec function and not in the individual shell bits. Additionally, it would be good if there was: so that bash -x would show the content of the classpath or even a '--debug classpath' option that would echo the classpath to the screen prior to java exec to help with debugging.",Code-LQualCd,yes,d8774cc577198fdc3bc36c26526c95ea9a989800
HADOOP,11013,summary,"CLASSPATH handling should be consolidated, debuggable",Code-LQualCd,yes,d8774cc577198fdc3bc36c26526c95ea9a989800
HADOOP,11014,summary,Potential resource leak in due to unclosed stream,Code-LQualCd,yes,b351086ff66ca279c0550e078e3a9d110f3f36a5
HADOOP,11063,description,"Windows has a maximum path length of 260 characters. KMS includes several long class file names. During packaging and creation of the distro, these paths get even longer because of prepending the standard war directory structure and our share/hadoop/etc. structure. The end result is that the final paths are longer than 260 characters, making it impossible to deploy a distro on Windows.",Code-LQualCd,yes,b44b2ee4adb78723c221a7da8fd35ed011d0905c
HADOOP,11063,summary,"KMS cannot deploy on Windows, because class names are too long.",Code-LQualCd,yes,b44b2ee4adb78723c221a7da8fd35ed011d0905c
HADOOP,11103,summary,Clean up RemoteException,Code-LQualCd,yes,d4a2830b63f0819979b592f4ea6ea3abd5885b71
HADOOP,11117,comment_1,stack/message of little or no value,Code-LQualCd,yes,a469833639c7a5ef525a108a1ac70213881e627d
HADOOP,11117,comment_5,"I really wish we could catch these and not throw a stack trace to figure out why/what/where it broke. From an end user perspective, these stacks are completely unfriendly.",Code-LQualCd,yes,a469833639c7a5ef525a108a1ac70213881e627d
HADOOP,11117,comment_8,"Some of the test failures are spurious, the only regression appears to be These tests are failing because the test code is doing an {{assertEquals}} on the expected string; the propagation of the underlying exception message is breaking this comparison. Fix is what could have been done in the first place: use as the probe",Code-Oth,yes,a469833639c7a5ef525a108a1ac70213881e627d
HADOOP,11117,comment_9,patch -002 which patches the test to make it less brittle to exception strings,Code-LQualCd,yes,a469833639c7a5ef525a108a1ac70213881e627d
HADOOP,11117,description,"If something is failing with kerberos login, should fail with useful information. But not all exceptions from the inner code are caught and converted to LoginException. Those exceptions that aren't wrapped have their text and stack trace lost somewhere in the javax code, leaving on the text ""login failed"" and a stack trace of no value whatsoever.",Code-Oth,yes,a469833639c7a5ef525a108a1ac70213881e627d
HADOOP,11379,comment_0,In this patch I fixed warnings raised by findbugs 3 against hadoop-auth and They're all encoding related warnings.,Code-LQualCd,yes,6df457a3d7661a890e84fc89567f29d0fe23c970
HADOOP,11379,description,"When locally run findbugs 3.0, there are new warnings generated. This Jira aims to address the new warnings in hadoop-auth and",Code-LQualCd,yes,6df457a3d7661a890e84fc89567f29d0fe23c970
HADOOP,11379,summary,Fix new findbugs warnings in hadoop-auth*,Code-LQualCd,yes,6df457a3d7661a890e84fc89567f29d0fe23c970
