classification,td_item,if_self_resolved,remediation_latency_without_discussion
Design-Des,HBASE-13905|0,1,0
Code-DedCd,HBASE-1396|0,1,0
Code-LQualCd,HBASE-14494|0,1,1
Design-Des,HBASE-14517|0,0,9
Code-LQualCd,HBASE-14517|1,0,0
Design-Des,HBASE-14604|0,0,6
Test-LacTst,HBASE-14604|1,1,5
Test-FlakyTst,HBASE-15192|0,1,3
Design-Des,HBASE-15617|0,0,24
Design-Des,HBASE-15640|0,1,8
Design-Des,HBASE-15835|0,1,8
Design-Des,HBASE-16856|0,0,0
Design-Des,HBASE-17101|0,1,24
Code-LQualCd,HBASE-17184|0,0,4
Design-Des,HBASE-17338|0,1,81
Code-DedCd,HBASE-17480|0,1,2
Code-LQualCd,HBASE-18092|0,1,3
Code-LQualCd,HBASE-18180|0,1,5
Design-Des,HBASE-18646|0,0,11
Design-Des,HBASE-19073|0,1,1
Code-LQualCd,HBASE-19183|0,1,0
Code-LQualCd,HBASE-19241|0,1,2
Code-LQualCd,HBASE-19373|0,1,0
Code-SlAlg,HBASE-19478|0,1,22
Code-LQualCd,HBASE-19531|0,0,2
Code-SlAlg,IMPALA-1013|0,0,14
Test-LacTst,IMPALA-1022|0,1,1
Architecture-ObsTech,IMPALA-1120|0,0,162
Test-LacTst,IMPALA-1147|0,0,17
Test-LacTst,IMPALA-1290|0,1,1
Design-Des,IMPALA-1430|0,0,701
Code-LQualCd,IMPALA-1596|0,1,6
Design-Des,IMPALA-1598|0,0,53
Design-Des,IMPALA-1651|0,0,383
Design-Des,IMPALA-1691|0,1,12
Code-LQualCd,IMPALA-1929|0,1,104
Design-Des,IMPALA-1934|0,0,236
Code-LQualCd,IMPALA-1963|0,0,37
Design-Des,IMPALA-1963|1,0,20
Design-Des,IMPALA-2068|0,1,0
Design-Des,IMPALA-2076|0,0,259
Code-SlAlg,IMPALA-2244|0,0,23
Design-Des,IMPALA-2295|0,1,0
Code-SlAlg,IMPALA-231|0,1,5
Code-LQualCd,IMPALA-231|1,1,0
Code-LQualCd,IMPALA-2341|0,0,0
Design-Des,IMPALA-2435|0,0,4
Code-LQualCd,IMPALA-2457|0,0,0
Design-Des,IMPALA-2632|0,1,9
Code-MTCor,IMPALA-2642|0,0,802
Code-SlAlg,IMPALA-2707|0,1,13
Test-ExpTst,IMPALA-3017|0,1,0
Design-Des,IMPALA-3077|0,0,48
Code-SlAlg,IMPALA-3103|0,1,0
Design-Des,IMPALA-321|0,0,44
Design-Des,IMPALA-322|0,0,6
Code-LQualCd,IMPALA-3276|0,1,0
Code-MTCor,IMPALA-330|0,1,300
Design-Des,IMPALA-3329|0,1,0
Code-LQualCd,IMPALA-3344|0,1,35
Design-Des,IMPALA-3548|0,0,428
Design-Des,IMPALA-3652|0,0,876
Design-Des,IMPALA-3671|0,0,61
Code-LQualCd,THRIFT-1003|0,0,4
Design-Des,THRIFT-1055|0,0,0
Code-LQualCd,THRIFT-1065|0,0,5
Code-DedCd,THRIFT-1065|1,0,5
Design-Des,THRIFT-1065|2,0,0
Code-LQualCd,THRIFT-1100|0,0,2
Test-LacTst,THRIFT-1103|0,0,1
Code-LQualCd,THRIFT-1103|1,0,0
Code-LQualCd,THRIFT-1176|0,0,2
Test-LCvg,THRIFT-1199|0,0,1
Code-LQualCd,THRIFT-1199|1,0,1
Architecture-ObsTech,THRIFT-1217|0,1,15
Code-DedCd,THRIFT-1231|0,0,3
Code-LQualCd,THRIFT-1241|0,0,15
Design-Des,THRIFT-1241|1,0,15
Design-Des,THRIFT-1243|0,0,4
Design-Des,THRIFT-1243|1,0,13
Code-LQualCd,THRIFT-1243|2,0,2
Design-Des,THRIFT-1248|0,0,1381
Design-Des,THRIFT-1269|0,0,5
Code-LQualCd,THRIFT-1275|0,0,1
Code-LQualCd,THRIFT-1290|0,1,1
Code-LQualCd,THRIFT-1314|0,0,1
Design-Des,THRIFT-1349|0,0,722
Design-Des,THRIFT-1452|0,0,2
Code-LQualCd,THRIFT-1480|0,0,3
Code-LQualCd,THRIFT-1504|0,0,2
Design-Des,THRIFT-1533|0,0,536
Code-LQualCd,THRIFT-1583|0,0,8
Design-Des,THRIFT-1595|0,0,257
Design-Des,THRIFT-1799|0,1,0
Test-LacTst,THRIFT-1810|0,1,388
Code-LQualCd,THRIFT-1813|0,0,316
Design-Des,THRIFT-1829|0,0,0
Code-LQualCd,THRIFT-1842|0,1,1
Code-DedCd,THRIFT-1873|0,1,3
Design-Des,THRIFT-1924|0,1,15
Code-LQualCd,THRIFT-1932|0,0,17
Code-LQualCd,THRIFT-1982|0,0,6
Code-LQualCd,THRIFT-1999|0,0,85
Code-LQualCd,THRIFT-2017|0,0,52
Code-DedCd,THRIFT-2020|0,1,78
Code-SlAlg,THRIFT-2021|0,1,118
Design-Des,THRIFT-2032|0,1,10
Code-LQualCd,THRIFT-2032|1,1,10
Design-Des,THRIFT-221|0,0,70
Test-LacTst,THRIFT-2210|0,0,1
Design-Des,THRIFT-2225|0,0,116
Code-LQualCd,THRIFT-2227|0,0,28
Code-LQualCd,THRIFT-2246|0,0,6
Code-LQualCd,THRIFT-2246|1,1,1
Design-Des,THRIFT-2263|0,0,22
Design-Des,THRIFT-2279|0,0,1
Code-LQualCd,THRIFT-2328|0,0,31
Code-LQualCd,THRIFT-2328|1,1,1
Design-Des,THRIFT-240|0,0,33
